,Name,Salary,Position
1,AntonioBrown,9200,WR
5,JulioJones,8800,WR
7,OdellBeckhamJr,8700,WR
16,RandallCobb,8200,WR
18,KeenanAllen,8200,WR
20,AlshonJeffery,8100,WR
21,CalvinJohnson,8100,WR
22,DeAndreHopkins,8100,WR
23,AJGreen,8100,WR
24,MikeEvans,8100,WR
37,JulianEdelman,7600,WR
39,RoddyWhite,7400,WR
40,BrandinCooks,7400,WR
46,VincentJackson,7200,WR
49,JarvisLandry,7100,WR
54,JordanMatthews,7000,WR
56,DeSeanJackson,6900,WR
62,GoldenTate,6700,WR
63,AmariCooper,6700,WR
64,SteveSmith,6700,WR
65,SammyWatkins,6600,WR
77,AnquanBoldin,6400,WR
78,DavanteAdams,6400,WR
85,TerranceWilliams,6300,WR
88,MikeWallace,6200,WR
90,JohnBrown,6200,WR
93,KendallWright,6100,WR
94,VictorCruz,6100,WR
104,DougBaldwin,6000,WR
106,TorreySmith,5900,WR
110,LarryFitzgerald,5900,WR
114,NelsonAgholor,5700,WR
115,SteveJohnson,5700,WR
116,AllenRobinson,5700,WR
119,ColeBeasley,5700,WR
120,PercyHarvin,5700,WR
122,MichaelFloyd,5600,WR
131,MichaelCrabtree,5500,WR
134,RuebenRandle,5400,WR
139,JamesJones,5400,WR
140,CharlesJohnson,5400,WR
142,JermaineKearse,5400,WR
143,ReggieWayne,5400,WR
145,PierreGarcon,5400,WR
146,BrianQuick,5300,WR
147,MarquesColston,5300,WR
161,KennyBritt,5200,WR
164,BreshadPerriman,5200,WR
165,CecilShorts,5200,WR
166,DeVanteParker,5200,WR
167,DwayneBowe,5200,WR
168,KennyStills,5200,WR
184,RobertWoods,5100,WR
189,MarkusWheaton,5100,WR
190,JaelenStrong,5100,WR
195,MalcomFloyd,5100,WR
201,JariusWright,5100,WR
206,AllenHurns,5000,WR
209,AndreHolmes,5000,WR
215,BrandonColeman,5000,WR
217,JerrichoCotchery,5000,WR
220,MohamedSanu,5000,WR
221,TravisBenjamin,5000,WR
222,TylerLockett,5000,WR
224,NateWashington,4900,WR
225,RannellHall,4900,WR
228,MalcomeKennedy,4900,WR
229,LuckyWhitehead,4900,WR
232,TavonAustin,4900,WR
233,KamarAiken,4900,WR
236,RishardMatthews,4900,WR
239,DorialGreenBeckham,4900,WR
240,DevinFunchess,4900,WR
251,HarryDouglas,4800,WR
252,StedmanBailey,4800,WR
254,MilesAustin,4800,WR
267,HakeemNicks,4800,WR
270,LouisMurphy,4800,WR
272,EddieRoyal,4800,WR
275,TedGinnJr,4700,WR
276,JustinHardy,4700,WR
284,GregJennings,4700,WR
285,CordarrellePatterson,4700,WR
287,TyMontgomery,4700,WR
291,RileyCooper,4700,WR
292,RashadGreene,4700,WR
296,MarqiseLee,4600,WR
301,DannyAmendola,4600,WR
307,DevinHester,4600,WR
322,RyanBroyles,4500,WR
323,KenbrellThompkins,4500,WR
324,GeremyDavis,4500,WR
329,JamarcusNelson,4500,WR
330,CoreyFuller,4500,WR
333,AviusCapers,4500,WR
335,BruceEllington,4500,WR
339,EricWeems,4500,WR
340,TrentSteelman,4500,WR
341,EdWilliams,4500,WR
343,PrestonParker,4500,WR
348,AustinPettis,4500,WR
351,RodStreater,4500,WR
353,GregLittle,4500,WR
354,TylerMcDonald,4500,WR
357,GregSalas,4500,WR
358,KaiDeLaCruz,4500,WR
359,KylePrater,4500,WR
360,KrisDurham,4500,WR
361,ChrisMatthews,4500,WR
362,LeonardHankerson,4500,WR
365,AceSanders,4500,WR
366,SeyiAjirotutu,4500,WR
369,JarrodWest,4500,WR
373,TaylorGabriel,4500,WR
374,MichaelCampanaro,4500,WR
375,AndrewHawkins,4500,WR
376,MarlonBrown,4500,WR
377,RussellShepard,4500,WR
379,MichaelBennett,4500,WR
382,JalenSaunders,4500,WR
383,JoshHuff,4500,WR
384,SammieCoates,4500,WR
387,CoreyPhillyBrown,4500,WR
389,SeantaviusJones,4500,WR
391,AaronDobson,4500,WR
393,JeffJanis,4500,WR
406,DeAndreCarter,4500,WR
408,JeremyRoss,4500,WR
410,MarquessWilson,4500,WR
413,JosephMorgan,4500,WR
421,KevinNorwood,4500,WR
422,AndreRoberts,4500,WR
424,JamisonCrowder,4500,WR
425,BriceButler,4500,WR
430,RyanGrant,4500,WR
432,ChrisHogan,4500,WR
434,QuintonPatton,4500,WR
435,JoshBellamy,4500,WR
441,RicardoLockette,4500,WR
443,JaronBrown,4500,WR
445,MarquiseGoodwin,4500,WR
446,DontrelleInman,4500,WR
448,BrandonTate,4500,WR
453,KenzelDoe,4500,WR
455,BrianHartline,4500,WR
460,AJCruz,4500,WR
461,JamesButler,4500,WR
465,StefonDiggs,4500,WR
470,TommyStreeter,4500,WR
471,JustinHunter,4500,WR
472,DavidNelson,4500,WR
475,MatthewSlater,4500,WR
479,BrittanGolden,4500,WR
481,DevinStreet,4500,WR
482,JacobyJones,4500,WR
488,MarvinJones,4500,WR
493,AdamThielen,4500,WR
498,DarriusHeywardBey,4500,WR
506,AldrickRobinson,4500,WR
507,ChrisGivens,4500,WR
508,DwayneHarris,4500,WR
509,KeshawnMartin,4500,WR
510,TrindonHolliday,4500,WR
511,LanceMoore,4500,WR
514,DenariusMoore,4500,WR
516,KevinOgletree,4500,WR
520,MarcMariani,4500,WR
537,KendrickIngs,3000,WR
